Country_Id,Country_Name,State,City,ZipCode
1,USA,AK,ANCHORAGE,99508
2,USA,AK,BARROW,99723
3,USA,AK,BETHEL,99559
4,USA,AK,CORDOVA,99574
5,USA,AK,DILLINGHAM,99576
6,USA,AK,FAIRBANKS,99701
7,USA,AK,HOMER,99603
8,USA,AK,JUNEAU,99801
9,USA,AK,KETCHIKAN,99901
10,USA,AK,KODIAK,99615
11,USA,AK,KOTZEBUE,99752
12,USA,AK,NOME,99762
13,USA,AK,PALMER,99645
14,USA,AK,PETERSBURG,99833
15,USA,AK,SEWARD,99664
16,USA,AK,SITKA,99835
17,USA,AK,SOLDOTNA,99669
18,USA,AK,VALDEZ,99686
19,USA,AK,WRANGELL,99929
20,USA,AL,ALABASTER,35007
21,USA,AL,ALEXANDER CITY,35010
22,USA,AL,ANDALUSIA,36420
23,USA,AL,ANNISTON,36201
24,USA,AL,ANNISTON,36207
25,USA,AL,ASHLAND,36251
26,USA,AL,ATHENS,35611
27,USA,AL,ATMORE,36502
28,USA,AL,BAY MINETTE,36507
29,USA,AL,BESSEMER,35021
30,USA,AL,BIRMINGHAM,35205
31,USA,AL,BIRMINGHAM,35209
32,USA,AL,BIRMINGHAM,35211
33,USA,AL,BIRMINGHAM,35233
34,USA,AL,BIRMINGHAM,35235
35,USA,AL,BIRMINGHAM,35243
36,USA,AL,BOAZ,35957
37,USA,AL,BREWTON,36426
38,USA,AL,BUTLER,36904
39,USA,AL,CAMDEN,36726
40,USA,AL,CARROLLTON,35447
41,USA,AL,CENTRE,35960
42,USA,AL,CENTREVILLE,35042
43,USA,AL,CHATOM,36518
44,USA,AL,CLANTON,35045
45,USA,AL,CULLMAN,35058
46,USA,AL,DADEVILLE,36853
47,USA,AL,DECATUR,35601
48,USA,AL,DEMOPOLIS,36732
49,USA,AL,DOTHAN,36301
50,USA,AL,DOTHAN,36305
51,USA,AL,ENTERPRISE,36330
52,USA,AL,EUFAULA,36027
53,USA,AL,EUTAW,35462
54,USA,AL,EVERGREEN,36401
55,USA,AL,FAIRHOPE,36532
56,USA,AL,FAYETTE,35555
57,USA,AL,FLORENCE,35631
58,USA,AL,FOLEY,36535
59,USA,AL,FORT PAYNE,35968
60,USA,AL,GADSDEN,35901
61,USA,AL,GADSDEN,35903
62,USA,AL,GENEVA,36340
63,USA,AL,GEORGIANA,36033
64,USA,AL,GREENSBORO,36744
65,USA,AL,GREENVILLE,36037
66,USA,AL,GROVE HILL,36451
67,USA,AL,HALEYVILLE,35565
68,USA,AL,HAMILTON,35570
69,USA,AL,HUNTSVILLE,35801
70,USA,AL,JACKSON,36545
71,USA,AL,JACKSONVILLE,36265
72,USA,AL,JASPER,35502
73,USA,AL,LUVERNE,36049
74,USA,AL,MOBILE,36604
75,USA,AL,MOBILE,36608
76,USA,AL,MOBILE,36617
77,USA,AL,MOBILE,36652
78,USA,AL,MONROEVILLE,36460
79,USA,AL,MONTGOMERY,36106
80,USA,AL,MONTGOMERY,36116
81,USA,AL,MONTGOMERY,36117
82,USA,AL,MOULTON,35650
83,USA,AL,MUSCLE SHOALS,35661
84,USA,AL,ONEONTA,35121
85,USA,AL,OPELIKA,36801
86,USA,AL,OPP,36467
87,USA,AL,OZARK,36360
88,USA,AL,PELL CITY,35125
89,USA,AL,PHENIX CITY,36867
90,USA,AL,PRATTVILLE,36067
91,USA,AL,RED BAY,35582
92,USA,AL,RUSSELLVILLE,35653
93,USA,AL,SCOTTSBORO,35768
94,USA,AL,SELMA,36701
95,USA,AL,SHEFFIELD,35660
96,USA,AL,SYLACAUGA,35150
97,USA,AL,TALLADEGA,35161
98,USA,AL,TALLASSEE,36078
99,USA,AL,TROY,36081
100,USA,AL,TUSCALOOSA,35401
101,USA,AL,UNION SPRINGS,36089
102,USA,AL,WEDOWEE,36278
103,USA,AL,WETUMPKA,36092
104,USA,AL,WINFIELD,35594
105,USA,AL,YORK,36925
106,USA,AR,ARKADELPHIA,71923
107,USA,AR,ASHDOWN,71822
108,USA,AR,BATESVILLE,72503
109,USA,AR,BENTON,72015
110,USA,AR,BERRYVILLE,72616
111,USA,AR,BLYTHEVILLE,72315
112,USA,AR,BOONEVILLE,72927
113,USA,AR,CALICO ROCK,72519
114,USA,AR,CAMDEN,71701
115,USA,AR,CLARKSVILLE,72830
116,USA,AR,CLINTON,72031
117,USA,AR,CONWAY,72032
118,USA,AR,CONWAY,72034
119,USA,AR,CROSSETT,71635
120,USA,AR,DANVILLE,72833
121,USA,AR,DARDANELLE,72834
122,USA,AR,DE QUEEN,71832
123,USA,AR,DE WITT,72042
124,USA,AR,DUMAS,71639
125,USA,AR,EL DORADO,71730
126,USA,AR,EUREKA SPRINGS,72632
127,USA,AR,FAYETTEVILLE,72703
128,USA,AR,FORDYCE,71742
129,USA,AR,FORREST CITY,72335
130,USA,AR,FORT SMITH,72902
131,USA,AR,FORT SMITH,72917
132,USA,AR,GRAVETTE,72736
133,USA,AR,HARRISON,72601
134,USA,AR,HEBER SPRINGS,72543
135,USA,AR,HELENA,72342
136,USA,AR,HOPE,71801
137,USA,AR,HOT SPRINGS,71901
138,USA,AR,HOT SPRINGS,71903
139,USA,AR,JACKSONVILLE,72076
140,USA,AR,JONESBORO,72401
141,USA,AR,LAKE VILLAGE,71653
142,USA,AR,LITTLE ROCK,72202
143,USA,AR,LITTLE ROCK,72205
144,USA,AR,LITTLE ROCK,72211
145,USA,AR,MAGNOLIA,71754
146,USA,AR,MALVERN,72104
147,USA,AR,MCGEHEE,71654
148,USA,AR,MENA,71953
149,USA,AR,MONTICELLO,71655
150,USA,AR,MORRILTON,72110
151,USA,AR,MOUNTAIN HOME,72653
152,USA,AR,MOUNTAIN VIEW,72560
153,USA,AR,NASHVILLE,71852
154,USA,AR,NO LITTLE ROCK,72118
155,USA,AR,NORTH LITTLE ROCK,72117
156,USA,AR,OSCEOLA,72370
157,USA,AR,OZARK,72949
158,USA,AR,PARAGOULD,72450
159,USA,AR,PARIS,72855
160,USA,AR,PIGGOTT,72454
161,USA,AR,PINE BLUFF,71603
162,USA,AR,POCAHONTAS,72455
163,USA,AR,ROGERS,72758
164,USA,AR,RUSSELLVILLE,72801
165,USA,AR,SALEM,72576
166,USA,AR,SEARCY,72143
167,USA,AR,SHERWOOD,72120
168,USA,AR,SILOAM SPRINGS,72761
